,feature,class
10,"[-312.16177     180.4823       12.82386      35.62691      -6.2403097
    1.4886775    -9.9407       -0.5942645   -11.784412     -4.6772776
   -2.7813866    -1.0894856     8.33177      -6.1007166    10.423811
   -1.5205077    -3.385062     -1.0818048    -3.4151566    -4.3152866
   -4.5872927     3.11921      -4.947672     -1.2493052    -3.5294087
    0.82462716   -1.1829531    -3.9151175    -0.5401504    -3.6857538
    1.0106195    -1.0629079     1.2161235    -2.0575407    -1.4711716
   -1.4110708    -2.9826746    -1.1338573    -4.2021685    -0.6732118 ]",male
11,"[-212.91833     132.39438     -46.35412      60.86781     -24.182806
   24.68138     -28.845928      9.6184845    -5.4769893    -1.8493487
    1.6577723    -8.193482      9.546462    -10.449684     13.602444
   -6.7564297     6.64072      -3.833538     -0.7314633     1.0529448
   -8.005885      6.1973157    -5.916218      6.974854      1.0210896
    7.2314186     0.5186248     0.50899154    1.3713609    -5.2368135
    3.3364549    -0.25934035    3.0567148    -4.6278133    -0.65719795
   -3.5044892    -1.8585466    -1.9808321    -5.748835     -1.6323793 ]",male
12,"[-5.8402966e+02  1.5271265e+02 -2.1723471e+01  8.3141718e+00
 -1.2665728e+01  1.0526669e+01 -2.7333088e+01 -1.3434232e+01
 -9.3052759e+00 -1.2120134e+01 -8.2553902e+00 -1.2994781e+01
 -2.1863804e+00 -1.0027412e+01  4.8968363e+00 -2.8642144e+00
  2.4638021e+00  1.7898644e+00 -5.5758553e+00  3.4714956e+00
 -5.8923383e+00 -2.2849443e+00  5.8853990e-01  5.2503675e-01
 -2.2348373e+00  6.6686213e-01 -9.4650489e-01 -8.3772290e-01
  1.6517420e+00 -2.3201218e+00  1.5385281e+00 -1.0586091e+00
  1.8492680e+00  4.1482335e-01  9.2769355e-01  2.3110182e+00
 -5.7540840e-01  1.6274750e+00  4.3899819e-01  2.0742340e+00]",male
13,"[-2.49058228e+02  1.23808846e+02 -3.27669182e+01  4.97170486e+01
 -1.86942654e+01 -5.81463146e+00 -2.46663630e-01  3.04961741e-01
 -1.64309807e+01  2.18756482e-01 -1.86395776e+00 -5.81914568e+00
  1.10069866e+01 -8.67452908e+00  1.25375528e+01 -4.16777754e+00
 -4.15727997e+00  9.83403015e+00  1.30485907e-01  1.80299079e+00
  8.70230019e-01  6.38434553e+00 -2.33346128e+00 -2.46616840e+00
 -5.32661676e+00 -3.21513319e+00  9.64831412e-01 -3.87562537e+00
 -2.85693836e+00  2.26691678e-01  5.80044699e+00  4.10487843e+00
  4.20609623e-01 -4.94902706e+00 -2.26410866e+00 -2.79223859e-01
  1.23090911e+00  1.74918258e+00  1.03419268e+00  4.16373301e+00]",male
14,"[-1.9411850e+02  1.4629950e+02 -5.1849686e+01  4.1111477e+01
 -8.7099390e+00  2.1881742e+01 -2.6876856e+01  2.6724703e+00
 -1.5476094e+01 -9.2787352e+00  8.9609547e+00 -4.4984446e+00
  6.0047903e+00 -1.0613360e+00  1.0910217e+01 -1.2129614e+01
 -4.7727365e+00 -6.9812603e+00 -5.8652139e-01 -1.1890853e-01
 -4.0766110e+00  2.9183149e+00 -4.8264441e+00  2.0617047e-01
 -7.5909147e+00 -1.3463361e+00 -7.9383259e+00  4.6010152e-01
 -5.1877987e-01 -7.0177236e+00 -1.3502334e+00 -1.5075289e+00
  4.5187054e+00 -7.4024048e+00 -2.4542661e+00 -3.9558916e+00
 -1.7265788e+00 -8.2551003e-01 -2.9085002e+00  3.8356286e-01]",male
15,"[-2.59815308e+02  1.20203354e+02 -3.04296112e+01  4.11124420e+01
 -9.97121525e+00  1.09115629e+01 -2.08700104e+01 -5.64246988e+00
 -1.00442495e+01 -1.38935924e-01 -2.10274243e+00 -8.25587082e+00
  6.59619856e+00 -1.75154152e+01  3.06984091e+00 -1.02604990e+01
 -1.68344498e+01 -1.34052029e+01 -5.76381159e+00 -1.32024586e+00
 -8.76678944e+00  2.67176557e+00 -6.62180567e+00 -1.09678042e+00
 -1.72137046e+00  1.06842089e+00  5.83695936e+00  8.32260418e+00
  1.38355303e+01  5.91661215e+00  6.04063630e-01 -7.12959528e+00
 -3.79920173e+00 -2.53067040e+00 -1.50541794e+00  2.65186816e-01
 -8.02970886e-01 -3.59230399e+00 -3.23740506e+00  3.29673100e+00]",male
16,"[-2.0557715e+02  1.6970708e+02 -1.4072907e+01  4.5167885e+01
 -5.8588820e+00  2.6545189e+01 -2.3138561e+01  4.2187360e-01
 -4.6127272e+00 -1.0590543e+01 -1.1802343e+00 -8.3915186e+00
  4.6076984e+00 -1.0919004e+01  4.1095262e+00 -5.0418162e+00
 -1.7721228e-01  7.1352673e-01  1.4735425e+00 -2.5786221e+00
 -9.0435734e+00  1.6677436e+00 -7.9026408e+00 -2.9698486e+00
 -7.5928988e+00 -1.5412294e+00 -2.3197322e+00 -4.3745680e+00
 -3.2118530e+00 -5.2373600e+00 -6.4555949e-01 -8.0062866e+00
 -2.2965164e+00 -4.5707083e+00 -2.6143117e+00 -4.3379269e+00
 -5.5754876e+00 -4.3896499e+00 -7.2808027e+00 -1.7215698e+00]",male
17,"[-2.6324979e+02  1.4343082e+02 -9.7980700e+00  5.6044609e+01
 -9.1568470e+00  5.8813090e+00 -2.2536901e+01  6.5056882e+00
 -7.0830555e+00 -5.8242660e+00  7.5754595e+00 -9.9905453e+00
  3.4652619e+00 -9.3312330e+00 -2.3715742e+00 -1.1670635e+00
 -2.0775389e-02 -7.2376728e+00  6.0331612e+00 -2.2717104e+00
 -1.2251338e+01  6.8215904e+00 -6.5592656e+00 -2.8055295e-01
 -1.7261225e+00 -3.7138691e+00 -8.8607466e-01 -9.1255224e-01
 -2.8266172e+00 -1.6474040e+00  1.6762371e+00 -5.5945187e+00
  2.0956125e+00 -2.0958147e+00 -1.7846575e+00 -5.8475649e-01
 -2.5716355e+00 -2.7493382e+00 -4.5982580e+00 -2.9879873e+00]",male
18,"[-3.3361411e+02  1.3491360e+02  8.1436529e+00  4.8100471e+01
 -1.3281662e+01  9.1192188e+00 -1.9849442e+01  1.0351561e+00
 -6.9247742e+00 -6.6207004e+00 -3.1247818e-01 -1.1245194e+01
 -1.8774055e+00 -1.5065230e+01 -5.1074821e-01 -8.0029411e+00
 -2.9951711e+00 -5.3753772e+00 -8.4288931e+00 -4.7504015e+00
 -6.4819808e+00  3.0406383e-01 -8.9536743e+00 -2.5793755e+00
 -5.1191530e+00 -5.6827912e+00 -7.6986189e+00 -5.4656844e+00
 -4.7575011e+00 -7.3405061e+00 -1.2732308e-01 -6.1157551e+00
 -2.5681407e+00 -4.7639680e+00 -2.1971853e+00 -6.0738283e-01
 -1.3656811e+00  1.1897513e+00 -1.5589834e+00  9.6083611e-01]",male
19,"[-3.4072549e+02  1.2687433e+02 -1.7067148e+01  5.4619244e+01
 -1.8428963e+01  3.2153423e+01 -3.0994884e+01  1.7156830e+01
 -7.0244555e+00 -4.7487440e+00  7.4692172e-01 -1.0642872e+01
  9.9428034e+00 -9.7032757e+00  1.3605564e+01 -7.8289547e+00
  3.6929078e+00 -3.1366589e+00 -3.3352935e+00 -6.3332934e+00
 -1.0075642e+01  1.7719035e+00 -8.7628193e+00  3.9947999e+00
 -4.0942664e+00  3.9683303e-01 -3.5947027e+00 -5.3433460e-01
 -1.8901691e+00 -3.1316836e+00 -1.4940421e-01 -4.2731333e+00
  1.4439520e+00 -5.7037616e+00  1.0733103e+00 -3.7932444e+00
 -1.4881520e+00 -2.4383097e+00 -1.7650858e+00  5.6326419e-01]",male
20,"[-249.03006    145.84668      8.405056    33.61908    -18.883064
   -9.162416   -31.177023     7.222132   -13.779762    -9.821726
  -10.174993   -23.530405     1.204399   -15.252196    -3.3920946
  -16.561602   -15.274045    -9.175693    -9.131617    -7.4114904
  -11.7255745   -4.7576246   -9.444174    -1.6694977   -3.2916276
   -3.543772    -6.5974154   -4.2394404   -1.6301872   -5.2387524
   -2.2028797   -5.560399    -1.9441448   -4.523069    -1.5933378
   -2.2101352   -4.1943603   -3.1199756   -5.4193234   -2.2860708]",male
21,"[-3.15486633e+02  1.27946274e+02 -5.24517784e+01  4.44431038e+01
 -3.65350723e+01  1.59294615e+01 -3.70137672e+01 -2.02633286e+01
 -6.12217128e-01 -8.69128799e+00 -5.11362267e+00 -7.90932536e-01
  8.10836220e+00 -1.21229076e+01  1.33349514e+01 -7.30548334e+00
 -4.81386280e+00 -7.10895836e-01 -6.70634317e+00 -1.20514974e-01
 -4.67491579e+00  6.70215338e-02 -6.18084335e+00 -1.70275584e-01
 -2.99093843e+00  9.17431831e-01 -4.56080055e+00 -3.21627688e+00
 -3.17051125e+00 -7.45873690e+00  2.79366708e+00 -9.28367496e-01
  3.12661481e+00 -3.96970201e+00 -3.95787263e+00 -1.85046244e+00
 -3.31120133e+00 -3.44875598e+00 -4.25520420e+00 -1.50842166e+00]",male
22,"[-3.62422852e+02  1.36594955e+02  2.35584617e+00  6.26206017e+01
 -7.44015026e+00 -7.41960955e+00 -1.55897255e+01 -5.87596416e+00
 -1.46674471e+01 -9.36743736e+00 -6.93382025e+00 -1.17326899e+01
  1.05960631e+00 -1.22826567e+01  3.98751664e+00 -3.63754535e+00
 -7.82125330e+00  9.25669611e-01 -2.09211040e+00 -3.14999747e+00
 -5.82048035e+00 -2.16026211e+00 -1.43751574e+00 -1.58856535e+00
 -4.45806026e+00 -6.85265303e-01 -5.24775982e+00 -4.30377293e+00
  2.61560995e-02 -2.18273711e+00 -4.15014362e+00 -7.69748497e+00
 -3.87579608e+00 -4.50994968e+00 -1.95289278e+00 -3.14458060e+00
 -2.38868785e+00 -7.87944496e-01 -1.73257422e+00  1.16436911e+00]",male
23,"[-3.1898734e+02  1.7931937e+02  1.4431146e+01  3.5659954e+01
 -4.9979596e+00  1.0073518e+01 -4.9985657e+00 -2.8829911e+00
 -9.9110079e+00 -5.7801509e+00 -5.9091282e+00 -5.5551071e+00
  1.3043966e+01 -8.8075991e+00  2.5491025e+00  6.2367043e+00
 -2.9942358e+00 -7.3598582e-01  7.6001543e-01 -1.2367258e+00
 -3.6584325e+00  2.0750980e+00 -5.3708167e+00 -1.9954029e+00
  5.8018929e-01 -6.9944263e-01  2.5396138e-01 -4.4912589e-01
 -9.6956557e-01 -1.3810928e+00 -9.4947863e-01 -3.8894360e+00
  6.8201149e-01 -1.4225749e+00 -1.3383312e+00  3.8290676e-01
 -1.0432358e+00  2.4728063e-02 -1.6728699e+00  4.3626693e-01]",male
24,"[-3.91785492e+02  1.71001251e+02  3.75905380e+01  1.14948902e+01
 -4.02997971e+00  1.02447109e+01 -1.77642365e+01 -1.49919949e+01
 -1.49958181e+01 -2.82522316e+01 -1.96505775e+01 -1.65504150e+01
 -7.15786457e-01 -5.85104322e+00 -1.13551235e+01  3.35771847e+00
 -2.52294958e-01 -1.12146044e+01 -4.70690775e+00 -1.68828452e+00
 -3.56621718e+00 -2.10487795e+00 -3.49169707e+00 -1.69232726e+00
 -4.08174038e+00 -2.48699665e+00 -1.15673566e+00 -1.79857922e+00
  5.56115866e-01 -7.53501594e-01 -2.62644410e+00 -5.75429535e+00
 -2.34919238e+00 -2.72324824e+00 -7.80674267e+00 -6.24576569e+00
 -3.61122012e+00 -2.33561873e+00 -5.09641218e+00 -6.95502996e+00]",male
25,"[-4.1093393e+02  1.5295865e+02 -2.3995943e+01  5.2602890e+01
 -9.0295887e+00  2.2807972e+01 -1.0832897e+01  2.8570697e+00
 -8.5298834e+00 -4.6127276e+00  2.6703222e+00 -6.1927676e+00
  7.6579337e+00 -1.2196449e+01  8.5010481e+00  4.0011755e-01
 -1.6114044e+00 -5.5613565e+00 -9.3665276e+00 -5.1040969e+00
 -1.0270210e+01 -8.0540371e-01 -3.6455388e+00 -2.7004297e+00
 -5.9528279e+00  9.6557236e-01 -2.9675605e+00 -2.2595477e+00
 -7.7776086e-01 -4.3528905e+00  1.6241263e+00 -3.6262553e+00
 -9.0078861e-01 -4.5099711e+00 -3.9244512e-01  5.4129139e-02
 -2.7343433e+00 -1.0306590e+00 -2.2744710e+00 -5.1812375e-01]",male
26,"[-2.8965030e+02  1.4645897e+02 -2.2395699e+00  3.9282558e+01
 -4.4614558e+00 -7.5557084e+00 -1.3854110e+01  6.4308089e-01
 -7.2525913e-01  8.2808218e+00  1.5044195e+01  3.6195774e+00
  3.6650238e+00 -9.6057099e-01  1.4108533e+01 -1.1851934e+00
 -1.5772098e+00  4.7435703e+00 -1.6109966e-01  4.4209561e+00
 -2.0409250e+00  7.4216884e-01 -1.2580985e+00  6.3255198e-02
  1.0937650e+00  1.3613249e-01 -2.3617125e+00 -1.8336031e+00
  3.0061970e+00 -1.8049427e+00 -1.9016108e-01 -9.4584316e-01
 -2.8577178e+00 -1.9217669e+00 -1.2092702e+00 -1.8436670e+00
 -1.6568242e+00  6.7985827e-01  2.0393994e+00  4.7840180e+00]",male
27,"[-3.6153653e+02  1.5158249e+02 -3.1216486e+01  5.2574841e+01
  1.2132820e+00 -5.6598010e+00 -1.0413877e+01  3.8405442e+00
 -1.1486846e+01 -6.0179496e+00  1.0059677e+00 -6.8729067e+00
  8.4718723e+00 -7.4338636e+00 -2.7849966e-01 -1.6012853e-01
 -2.3408473e+00 -7.1955309e+00 -3.9051363e+00  1.8056422e+00
 -7.4014602e+00 -1.4446967e+00 -1.3022649e+00 -3.0786233e+00
 -5.5332232e+00  1.3625139e+00 -1.6153508e+00 -3.3383145e+00
 -1.0446336e-02 -3.7714686e+00 -7.3655605e-01 -2.7308125e+00
  1.2509882e+00 -1.1942339e+00 -2.2910259e+00 -1.0225680e+00
 -2.5036757e+00 -2.1204519e+00 -3.7099621e+00 -1.4095414e+00]",male
28,"[-211.8804      160.57379     -44.46047      39.230274    -23.030191
    5.1239038   -22.985794    -13.539584    -17.53385     -14.96268
   -7.3667803   -14.594832      1.2127664   -16.424398      0.45658132
   -2.6265821    -6.8662558    -5.2854342    -3.5502365    -3.1024246
   -4.771285      2.5141258    -6.5132713    -2.9418402    -5.225116
   -1.8657417    -2.6374123    -1.9528606    -0.23540363   -3.749325
   -0.6234217    -4.484213     -0.40021548   -3.204368     -0.9788273
   -1.4633379    -3.2075508    -0.3746309    -2.1581786    -0.79681516]",male
29,"[-2.9317145e+02  1.5304189e+02 -1.6632853e+01  5.2679947e+01
  4.2821360e+00  1.9938953e+01 -2.3753178e+01  9.7152662e-01
 -4.8054881e+00 -7.4795637e+00 -9.3117018e+00 -1.5049307e+01
  3.2021694e+00 -1.9855343e+01  3.4807625e+00 -1.6971871e+00
 -8.3062916e+00 -3.5596631e+00  4.3499774e-01 -1.5712326e+00
 -6.8733497e+00  2.3025632e+00 -5.3640008e+00 -2.6565728e+00
 -5.9248757e+00 -3.5710263e-01 -1.7749329e+00 -1.9912534e+00
  1.5721982e+00 -1.7116891e+00  7.9211140e-01 -4.0342093e+00
 -3.3827302e-01 -1.7208064e+00  2.3270354e-01 -2.2163610e+00
 -1.9166670e+00  1.5876760e+00 -1.6641994e+00  1.8947603e-01]",male
30,"[-3.0913370e+02  1.5495847e+02 -1.4642272e+01  4.3333321e+01
 -3.1031042e+01  2.5208612e+01 -3.1220819e+01  6.9714302e-01
 -1.1210884e+01 -3.8420217e+00 -4.6222541e-01 -8.4315739e+00
  4.4698324e+00 -1.6594477e+01  1.0723246e+01 -1.4517467e+01
 -2.3611927e+00 -2.8347225e+00 -6.3242769e+00 -2.2653036e+00
 -6.9792352e+00 -2.5632513e+00 -1.0308973e+01  3.1662352e+00
 -4.4220209e+00  8.1269640e-01 -6.1694236e+00 -2.3359625e+00
 -6.9268411e-01 -3.3989251e+00  2.1329978e+00 -6.1836028e+00
  2.5216368e-01 -4.1573157e+00 -6.4704335e-01 -6.7251768e+00
 -3.4386585e+00 -6.9734353e-01 -4.6807456e+00 -2.4924812e+00]",male
31,"[-2.8179486e+02  1.4272978e+02 -3.3183918e+01  4.1575382e+01
 -2.5690880e+01 -5.6001425e+00 -1.7706377e+01 -1.0720488e+01
 -1.9143917e+01 -4.3528848e+00 -1.4236781e-01 -4.9090405e+00
  2.4315276e+00 -9.8443146e+00  8.2915039e+00 -7.5055485e+00
 -2.4078691e+00 -4.9759812e+00 -7.8127646e+00 -5.3597293e+00
 -4.2076330e+00  4.0036836e+00 -9.0345335e+00 -2.7405670e+00
 -4.5169663e+00 -1.9900177e+00 -6.1603827e+00 -5.0932751e+00
 -2.8069067e+00 -4.8100419e+00  3.1214573e+00 -4.9298630e+00
 -3.3383555e+00 -3.4815714e+00 -1.9447547e+00 -4.7729964e+00
 -4.6951394e+00 -1.6569970e+00 -4.7264509e+00 -1.8601277e+00]",male
32,"[-4.1081036e+02  1.7902225e+02 -2.6236256e+01  3.9325787e+01
 -1.8628389e+00  1.5724246e+01 -4.1651249e+00  1.9569210e+01
 -5.1857438e+00  3.7582276e+00  9.2681847e+00 -2.3968413e+00
  1.3627549e+01 -4.6763115e+00  2.5338893e+00 -1.7210089e+00
  4.0392094e+00 -5.7453933e+00  2.7876003e+00  2.1208203e+00
 -7.5454893e+00  1.7244838e+00 -3.7292919e+00  2.0935934e+00
 -4.0847745e+00  3.7169650e+00  1.0465568e+00  1.1663189e+00
 -1.3257118e-01 -1.1018742e+00  3.8701229e+00 -4.8360920e+00
  3.1031444e+00 -1.4747285e+00  4.1512766e-01 -6.6431606e-01
 -8.1203091e-01  2.4300394e+00 -1.1288085e+00  1.6175379e+00]",male
33,"[-3.0375201e+02  1.5371107e+02 -5.2129278e+00  3.8662804e+01
 -1.7657171e+01  1.2770553e+01 -2.5009954e+01 -1.0969911e-02
 -6.7092705e+00 -7.2740703e+00 -4.6393156e+00 -7.8793135e+00
  7.6759357e+00 -9.5108767e+00  9.5648499e+00 -1.9039693e-01
  5.5174887e-01 -3.8149219e+00 -5.6018490e-01  7.4337870e-01
 -5.7330451e+00  2.3589857e+00 -6.9035339e+00 -5.4030228e-01
 -4.4338570e+00  1.5993792e+00 -2.5971613e+00 -7.3571777e+00
 -4.8811693e+00 -4.1488085e+00 -5.9317434e-01 -7.9238191e+00
 -2.6822023e+00 -4.7879848e+00 -1.6713293e-01 -3.1032190e+00
 -4.5104094e+00 -1.4003794e+00 -4.5387831e+00 -2.0008523e+00]",male
34,"[-3.03930176e+02  1.20518974e+02 -2.38938465e+01  2.93948002e+01
 -2.12885780e+01  8.47417736e+00 -2.92733803e+01 -1.60396051e+00
 -6.40591240e+00 -1.15553389e+01  3.18578696e+00 -3.95592856e+00
  1.01642156e+00 -6.49461937e+00  4.48613214e+00 -1.13346901e+01
 -3.10683751e+00 -6.05785370e+00 -6.39245415e+00 -7.48911381e+00
 -1.20841160e+01 -2.99676514e+00 -1.22135220e+01 -1.87939835e+00
 -8.71932316e+00 -7.65992975e+00 -4.18488836e+00 -4.71008158e+00
 -6.23825693e+00 -7.48810196e+00 -7.87243247e-02 -3.76923585e+00
  3.72521758e-01 -4.78402996e+00 -1.79247153e+00 -3.45578980e+00
 -1.58897650e+00  4.34660101e+00  2.58196682e-01  4.59703922e+00]",male
35,"[-3.1932257e+02  1.0916983e+02 -3.8871948e+01  4.2648808e+01
 -3.6849487e+01  2.2102043e+01 -3.9674335e+01 -7.8484182e+00
 -7.8048162e+00 -1.7646893e+01 -9.7776976e+00 -1.7777773e+01
 -2.5761983e+00 -1.8091265e+01  4.4192919e-01 -1.2577214e+01
 -1.3606060e+00 -1.0208945e+01 -8.6595497e+00 -5.2516752e-01
 -9.0139160e+00 -4.2457514e+00 -9.8098640e+00  3.0193796e+00
 -7.3143859e+00 -9.5485866e-01 -9.2043555e-01  5.6880921e-01
  2.2637713e+00 -1.5780090e-01  6.5727634e+00 -1.6958065e+00
  4.7255235e+00  7.7087212e-01  3.1096535e+00  7.9248536e-01
  4.5294616e-01  1.4105569e+00 -3.1769645e+00 -3.1954348e-01]",male
